Date,Close,Adj Close,Volume,Daily_Return_Pct
1/5/1970,93.459999,93.459999,11490000,-0.006847839
1/6/1970,92.82,92.82,11460000,-0.002047005
1/7/1970,92.629997,92.629997,10010000,0.000539814
1/8/1970,92.68,92.68,10670000,-0.003021126
1/9/1970,92.400002,92.400002,9380000,-0.007575812
1/12/1970,91.699997,91.699997,8900000,0.002399139
1/13/1970,91.919998,91.919998,9870000,-0.002937293
1/14/1970,91.650002,91.650002,10380000,0.00032731
1/15/1970,91.68,91.68,11120000,-0.008289725
1/16/1970,90.919998,90.919998,11940000,-0.01396828
1/19/1970,89.650002,89.650002,9500000,0.002007808
1/20/1970,89.830002,89.830002,11050000,0.001335801
1/21/1970,89.949997,89.949997,9880000,0.0010006
1/22/1970,90.040001,90.040001,11050000,-0.007441115
1/23/1970,89.370003,89.370003,11000000,-0.01342738
1/26/1970,88.169998,88.169998,10670000,-0.006237893
1/27/1970,87.620003,87.620003,9630000,-0.009472746
1/28/1970,86.790001,86.790001,10510000,-0.01267426
1/29/1970,85.690002,85.690002,12210000,-0.00781894
1/30/1970,85.019997,85.019997,12320000,0.008586251
2/2/1970,85.75,85.75,13440000,0.011895009
2/3/1970,86.769997,86.769997,16050000,-0.006108091
2/4/1970,86.239998,86.239998,11040000,-0.00394244
2/5/1970,85.900002,85.900002,9430000,0.005005821
2/6/1970,86.330002,86.330002,10150000,0.007876752
2/9/1970,87.010002,87.010002,10830000,-0.010458614
2/10/1970,86.099998,86.099998,10110000,0.009756144
2/11/1970,86.940002,86.940002,12260000,-0.002415447
2/12/1970,86.730003,86.730003,10010000,-0.00219073
2/13/1970,86.540001,86.540001,11060000,-0.000808874
2/16/1970,86.470001,86.470001,19780000,-0.001156447
2/17/1970,86.370003,86.370003,10140000,0.012388549
2/18/1970,87.440002,87.440002,11950000,0.003659652
2/19/1970,87.760002,87.760002,12890000,0.003076538
2/20/1970,88.029999,88.029999,10790000,-0.000454402
2/24/1970,87.989998,87.989998,10810000,0.015456302
2/25/1970,89.349998,89.349998,13210000,-0.005036329
2/26/1970,88.900002,88.900002,11540000,0.006749134
2/27/1970,89.5,89.5,12890000,0.002346358
3/2/1970,89.709999,89.709999,12270000,0.0057965
3/3/1970,90.230003,90.230003,11700000,-0.002105752
3/4/1970,90.040001,90.040001,11850000,-0.000444258
3/5/1970,90,90,11370000,-0.0062222
3/6/1970,89.440002,89.440002,10980000,-0.010398032
3/9/1970,88.510002,88.510002,9760000,0.002711535
3/10/1970,88.75,88.75,9450000,-0.000676034
3/11/1970,88.690002,88.690002,9180000,-0.004059082
3/12/1970,88.330002,88.330002,9140000,-0.005320967
3/13/1970,87.860001,87.860001,9560000,-0.010812622
3/16/1970,86.910004,86.910004,8910000,0.004372304
3/17/1970,87.290001,87.290001,9090000,0.002864016
3/18/1970,87.540001,87.540001,9790000,-0.001370836
3/19/1970,87.419998,87.419998,8930000,-0.004118051
3/20/1970,87.059998,87.059998,7910000,-0.000804043
3/23/1970,86.989998,86.989998,7330000,0.011380676
3/24/1970,87.980003,87.980003,8840000,0.020345464
3/25/1970,89.769997,89.769997,17500000,0.001670948
3/26/1970,89.919998,89.919998,11350000,-0.0032251
3/30/1970,89.629997,89.629997,9600000,0
3/31/1970,89.629997,89.629997,8370000,0.004909104
4/1/1970,90.07,90.07,9810000,-0.003108682
4/2/1970,89.790001,89.790001,10520000,-0.004454861
4/3/1970,89.389999,89.389999,9920000,-0.007047735
4/6/1970,88.760002,88.760002,8380000,-0.002703977
4/7/1970,88.519997,88.519997,8490000,-0.000338895
4/8/1970,88.489998,88.489998,9070000,0.00045204
4/9/1970,88.529999,88.529999,9060000,-0.003275737
4/10/1970,88.239998,88.239998,10020000,-0.006799626
4/13/1970,87.639999,87.639999,8810000,-0.008557736
4/14/1970,86.889999,86.889999,10840000,-0.001841363
4/15/1970,86.730003,86.730003,9410000,-0.009800599
4/16/1970,85.879997,85.879997,10250000,-0.002445261
4/17/1970,85.669998,85.669998,10990000,0.001867678
4/20/1970,85.830002,85.830002,8280000,-0.00524298
4/21/1970,85.379997,85.379997,8490000,-0.013000703
4/22/1970,84.269997,84.269997,10780000,-0.014595895
4/23/1970,83.040001,83.040001,11050000,-0.003251493
4/24/1970,82.769997,82.769997,10410000,-0.015826967
4/27/1970,81.459999,81.459999,10240000,-0.014608421
4/28/1970,80.269997,80.269997,12620000,0.019185263
4/29/1970,81.809998,81.809998,15800000,-0.003544811
4/30/1970,81.519997,81.519997,9880000,-0.000981293
5/1/1970,81.440002,81.440002,8290000,-0.025417472
5/4/1970,79.370003,79.370003,11450000,-0.009701461
5/5/1970,78.599998,78.599998,10580000,0.011068741
5/6/1970,79.470001,79.470001,14380000,0.004530024
5/7/1970,79.830002,79.830002,9530000,-0.004885381
5/8/1970,79.440002,79.440002,6930000,-0.010574068
5/11/1970,78.599998,78.599998,6650000,-0.009541985
5/12/1970,77.849998,77.849998,10850000,-0.016955672
5/13/1970,76.529999,76.529999,10720000,-0.014242742
5/14/1970,75.440002,75.440002,13920000,0.019353128
5/15/1970,76.900002,76.900002,14570000,0.000780195
5/18/1970,76.959999,76.959999,8280000,-0.019490645
5/19/1970,75.459999,75.459999,9480000,-0.025709012
5/20/1970,73.519997,73.519997,13020000,-0.018498273
5/21/1970,72.160004,72.160004,16710000,0.001247173
5/22/1970,72.25,72.25,12170000,-0.027681661
5/25/1970,70.25,70.25,12660000,-0.013665466
5/26/1970,69.290001,69.290001,17030000,0.050223639
5/27/1970,72.769997,72.769997,17460000,0.025285201
5/28/1970,74.610001,74.610001,18910000,0.026001903
5/29/1970,76.550003,76.550003,14630000,0.016851639
6/1/1970,77.839996,77.839996,15020000,0
6/2/1970,77.839996,77.839996,13480000,0.008735882
6/3/1970,78.519997,78.519997,16600000,-0.014773256
6/4/1970,77.360001,77.360001,14380000,-0.015382665
6/5/1970,76.169998,76.169998,12450000,0.001575463
6/8/1970,76.290001,76.290001,8040000,-0.000524328
6/9/1970,76.25,76.25,7050000,-0.010098321
6/10/1970,75.480003,75.480003,7240000,-0.013646078
6/11/1970,74.449997,74.449997,7770000,-0.007656145
6/12/1970,73.879997,73.879997,8890000,0.009474892
6/15/1970,74.580002,74.580002,6920000,0.02105122
6/16/1970,76.150002,76.150002,11330000,-0.001969823
6/17/1970,76,76,9870000,0.006710553
6/18/1970,76.510002,76.510002,8870000,0.007057914
6/19/1970,77.050003,77.050003,10980000,-0.005321272
6/22/1970,76.639999,76.639999,8700000,-0.024530233
6/23/1970,74.760002,74.760002,10790000,-0.010567161
6/24/1970,73.970001,73.970001,12630000,0.000675896
6/25/1970,74.019997,74.019997,8200000,-0.00743037
6/26/1970,73.470001,73.470001,9160000,-0.007894406
6/29/1970,72.889999,72.889999,8770000,-0.002332254
6/30/1970,72.720001,72.720001,9280000,0.003025316
7/1/1970,72.940002,72.940002,8610000,-0.000274253
7/2/1970,72.919998,72.919998,8440000,-0.015633558
7/6/1970,71.779999,71.779999,9340000,-0.007662246
7/7/1970,71.230003,71.230003,10470000,0.024849037
7/8/1970,73,73,10970000,0.014520521
7/9/1970,74.059998,74.059998,12820000,0.005265987
7/10/1970,74.449997,74.449997,10160000,0.001343264
7/13/1970,74.550003,74.550003,7450000,-0.001743863
7/14/1970,74.419998,74.419998,7360000,0.010884238
7/15/1970,75.230003,75.230003,8860000,0.014754658
7/16/1970,76.339996,76.339996,12200000,0.017684125
7/17/1970,77.690002,77.690002,13870000,0.001287154
7/20/1970,77.790001,77.790001,11660000,-0.010412624
7/21/1970,76.980003,76.980003,9940000,0.000649467
7/22/1970,77.029999,77.029999,12460000,0.01259251
7/23/1970,78,78,12460000,-0.002307692
7/24/1970,77.82,77.82,9520000,-0.002184503
7/27/1970,77.650002,77.650002,7460000,0.001545332
7/28/1970,77.769997,77.769997,9040000,0.003471827
7/29/1970,78.040001,78.040001,12580000,0.000384405
7/30/1970,78.07,78.07,10430000,-0.000256142
7/31/1970,78.050003,78.050003,11640000,-0.013196745
8/3/1970,77.019997,77.019997,7650000,0.002207284
8/4/1970,77.190002,77.190002,8310000,-0.000129576
8/5/1970,77.18,77.18,7660000,-0.001295647
8/6/1970,77.080002,77.080002,7560000,0.002594668
8/7/1970,77.279999,77.279999,9370000,-0.013975181
8/10/1970,76.199997,76.199997,7580000,-0.004986837
8/11/1970,75.82,75.82,7330000,-0.005275679
8/12/1970,75.419998,75.419998,7440000,-0.008750942
8/13/1970,74.760002,74.760002,8640000,0.005617951
8/14/1970,75.18,75.18,7850000,0.001995238
